pickup_year,pickup_month,pickup_day,trip_distance,RatecodeID,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,
2016,7,10,0.5,1,263,236,4.5,1,0.5,0,0.3,2.7,9,1,
2016,7,10,1.34,1,142,163,6,0,0.5,0,0.3,1.36,8.16,1,
2016,7,10,9.48,1,74,66,27,0,0.5,0,0.3,0,27.8,1,
2016,7,10,1,1,264,264,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,0.9,1,48,68,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,0.9,1,161,142,6,0,0.5,0,0.3,1,7.8,1,
2016,7,10,1.07,1,144,231,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,7.44,1,226,261,23,0,0.5,0,0.3,4.76,28.56,1,
2016,7,10,0.87,1,261,87,6,0,0.5,0,0.3,1,7.8,1,
2016,7,10,3.02,1,263,164,11.5,0,0.5,0,0.3,2.46,14.76,1,
2016,7,10,3.56,1,236,186,15.5,0,0.5,0,0.3,3.26,19.56,1,
2016,7,10,13.13,1,138,114,38.5,0,0.5,5.54,0.3,0,44.84,2,
2016,7,10,9.6,1,138,164,32,0,0.5,5.54,0.3,9.58,47.92,1,
2016,7,10,11.9,1,138,113,45,0,0.5,5.54,0.3,12.84,64.18,1,
2016,7,10,8.73,1,138,236,25.5,0,0.5,5.54,0.3,9.55,41.39,1,
2016,7,10,0.78,1,229,161,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,1.7,1,144,170,8,0,0.5,0,0.3,1,9.8,1,
2016,7,10,1.28,1,79,249,6.5,0,0.5,0,0.3,1.5,8.8,1,
2016,7,10,1.05,1,170,186,7.5,0,0.5,0,0.3,0,8.3,2,
2016,7,10,2.21,1,161,43,9,0,0.5,0,0.3,1.96,11.76,1,
2016,7,10,0.61,1,113,211,4.5,0,0.5,0,0.3,0,5.3,2,
2016,7,10,2.6,1,148,186,10.5,0,0.5,0,0.3,1,12.3,1,
2016,7,10,1.2,1,246,164,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,1.9,1,170,114,8.5,0,0.5,0,0.3,0,9.3,1,
2016,7,10,0.3,1,107,107,3,0,0.5,0,0.3,0,3.8,2,
2016,7,10,2.3,1,158,230,10,0,0.5,0,0.3,2.15,12.95,1,
2016,7,10,2.13,1,249,161,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,1.72,1,229,43,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,0.7,1,238,239,4.5,0,0.5,0,0.3,0,5.3,2,
2016,7,10,1.6,1,141,137,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,1.9,1,239,237,9.5,0,0.5,0,0.3,1.55,11.85,1,
2016,7,10,10.2,1,138,162,29,0,0.5,5.54,0.3,0,35.34,2,
2016,7,10,0.76,1,142,43,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,0.9,1,261,231,4.5,0,0.5,0,0.3,1.05,6.35,1,
2016,7,10,4.1,1,143,145,16,0,0.5,0,0.3,0,16.8,2,
2016,7,10,1.6,1,141,162,7.5,0,0.5,0,0.3,1.65,9.95,1,
2016,7,10,11.68,1,138,230,34.5,0,0.5,5.54,0.3,10.21,51.05,1,
2016,7,10,1.21,1,233,140,6.5,0,0.5,0,0.3,0,7.3,1,
2016,7,10,3.09,1,236,186,13.5,0,0.5,0,0.3,2.86,17.16,1,
2016,7,10,4.7,1,255,170,18,0,0.5,0,0.3,3.75,22.55,1,
2016,7,10,0.97,1,249,186,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,1.62,1,186,246,9,0,0.5,0,0.3,0,9.8,2,
2016,7,10,1.75,1,90,230,8,0,0.5,0,0.3,0,8.8,2,
2016,7,10,1.7,1,233,113,10,0,0.5,0,0.3,0,10.8,2,
2016,7,10,2.49,1,186,211,10.5,0,0.5,0,0.3,0,11.3,2,
2016,7,10,1.4,1,161,50,8,0,0.5,0,0.3,0,8.8,1,
2016,7,10,1.34,1,186,158,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,1.93,1,224,186,9.5,0,0.5,0,0.3,0,10.3,2,
2016,7,10,1.5,1,143,237,8,0,0.5,0,0.3,1.75,10.55,1,
2016,7,10,3.7,1,230,231,15,0,0.5,0,0.3,0,15.8,2,
2016,7,10,0.99,1,50,142,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,1.03,1,43,142,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,2,1,90,4,9.5,0,0.5,0,0.3,0,10.3,2,
2016,7,10,2.3,1,142,236,9.5,0,0.5,0,0.3,2.05,12.35,1,
2016,7,10,4.4,1,41,229,17,0,0.5,0,0.3,3.5,21.3,1,
2016,7,10,0.7,1,90,186,4.5,0,0.5,0,0.3,0,5.3,2,
2016,7,10,0.6,1,236,75,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,1.18,1,113,158,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,0.84,1,231,45,6.5,0,0.5,0,0.3,1.46,8.76,1,
2016,7,10,1.44,1,186,158,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,0.53,1,264,264,4,0,0.5,0,0.3,0.96,5.76,1,
2016,7,10,2.79,1,141,100,12,0,0.5,0,0.3,0,12.8,2,
2016,7,10,0.5,1,262,262,4.5,0,0.5,0,0.3,1.05,6.35,1,
2016,7,10,2.26,1,230,236,8.5,0,0.5,0,0.3,1.86,11.16,1,
2016,7,10,4.05,1,138,93,16.5,0,0.5,0,0.3,4.32,21.62,1,
2016,7,10,12.88,1,234,14,36.5,0,0.5,0,0.3,7.46,44.76,1,
2016,7,10,6.7,1,87,229,21.5,0,0.5,0,0.3,4.45,26.75,1,
2016,7,10,3.97,1,75,48,15,0,0.5,0,0.3,3.16,18.96,1,
2016,7,10,1.47,1,140,142,7,0,0.5,0,0.3,1,8.8,1,
2016,7,10,1,1,163,48,6,0,0.5,0,0.3,2.5,9.3,1,
2016,7,10,0.95,1,90,249,5,0,0.5,0,0.3,1.16,6.96,1,
2016,7,10,9.45,1,138,161,28.5,0,0.5,5.54,0.3,0,34.84,2,
2016,7,10,1.51,1,238,142,8,0,0.5,0,0.3,1,9.8,1,
2016,7,10,1.98,1,161,48,11.5,0,0.5,0,0.3,3.08,15.38,1,
2016,7,10,1.91,1,114,137,9,0,0.5,0,0.3,1,10.8,1,
2016,7,10,2.7,1,141,186,11.5,0,0.5,0,0.3,3.65,15.95,1,
2016,7,10,1.8,1,263,162,9.5,0,0.5,0,0.3,2.05,12.35,1,
2016,7,10,6.39,1,262,114,21,0,0.5,0,0.3,4.36,26.16,1,
2016,7,10,12.4,1,132,171,36.5,0,0.5,0,0.3,0,37.3,2,
2016,7,10,2.94,1,263,143,11.5,0,0.5,0,0.3,2.46,14.76,1,
2016,7,10,2.61,1,66,125,10.5,0,0.5,0,0.3,2.26,13.56,1,
2016,7,10,3.5,1,170,231,13,0,0.5,0,0.3,0,13.8,2,
2016,7,10,1.6,1,113,148,9,0,0.5,0,0.3,0,9.8,2,
2016,7,10,2.9,1,238,237,13,0,0.5,0,0.3,2.75,16.55,1,
2016,7,10,0.7,1,162,141,4,0,0.5,0,0.3,0.96,5.76,1,
2016,7,10,1,1,68,100,6.5,0,0.5,0,0.3,1.45,8.75,1,
2016,7,10,1.3,1,79,234,8,0,0.5,0,0.3,1.75,10.55,1,
2016,7,10,17.58,2,132,107,52,0,0.5,5.54,0.3,11.67,70.01,1,
2016,7,10,1.1,1,68,114,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,11.2,1,138,230,35,0,0.5,5.54,0.3,6,47.34,1,
2016,7,10,1.71,1,113,161,7,0,0.5,0,0.3,1.2,9,1,
2016,7,10,1.26,1,142,238,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,0.4,1,48,48,3.5,0,0.5,0,0.3,0.86,5.16,1,
2016,7,10,1.1,1,79,232,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,2.08,1,137,140,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,1.15,1,162,186,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,0.82,1,249,113,6,0,0.5,0,0.3,1.36,8.16,1,
2016,7,10,1.3,1,186,233,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,1.9,1,151,142,7.5,0,0.5,0,0.3,0,8.3,1,
2016,7,10,1.56,1,48,233,8.5,0,0.5,0,0.3,1,10.3,1,
2016,7,10,0.7,1,231,231,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,0.9,1,48,161,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,3.28,1,68,43,13.5,0,0.5,0,0.3,2.86,17.16,1,
2016,7,10,1.35,1,234,186,8.5,0,0.5,0,0.3,0,9.3,2,
2016,7,10,1.3,1,137,100,7,0,0.5,0,0.3,1.56,9.36,1,
2016,7,10,2,1,107,68,10,0,0.5,0,0.3,1,11.8,1,
2016,7,10,1.11,1,68,100,5,0,0.5,0,0.3,1.45,7.25,1,
2016,7,10,14.08,1,50,124,42,0,0.5,0,0.3,0,42.8,2,
2016,7,10,6,1,161,88,19,0,0.5,0,0.3,3.95,23.75,1,
2016,7,10,0.4,1,233,170,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,0.5,1,262,262,4,0,0.5,0,0.3,0.95,5.75,1,
2016,7,10,1.23,1,236,239,6.5,0,0.5,0,0.3,0,7.3,1,
2016,7,10,8.8,1,138,48,27.5,0,0.5,5.54,0.3,0,33.84,2,
2016,7,10,6.33,1,236,148,21,0,0.5,0,0.3,4.36,26.16,1,
2016,7,10,4.7,1,66,186,16,0,0.5,0,0.3,4.2,21,1,
2016,7,10,0.84,1,163,237,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,2.46,1,161,158,11,0,0.5,0,0.3,2.36,14.16,1,
2016,7,10,0.85,1,233,170,5,0,0.5,0,0.3,0.5,6.3,1,
2016,7,10,0.64,1,230,230,5,0,0.5,0,0.3,1.16,6.96,1,
2016,7,10,1.07,1,161,100,6,0,0.5,0,0.3,1.7,8.5,1,
2016,7,10,2.69,1,231,100,10.5,0,0.5,0,0.3,2.26,13.56,1,
2016,7,10,1.22,1,170,229,6,0,0.5,0,0.3,1.36,8.16,1,
2016,7,10,3.5,1,166,163,13.5,0,0.5,0,0.3,3.5,17.8,1,
2016,7,10,2.28,1,142,170,9.5,0,0.5,0,0.3,0,10.3,2,
2016,7,10,1.89,1,166,151,8.5,0,0.5,0,0.3,0,9.3,2,
2016,7,10,0.9,1,246,48,5.5,0,0.5,0,0.3,1.25,7.55,1,
2016,7,10,1.43,1,87,211,7,0,0.5,0,0.3,1.95,9.75,1,
2016,7,10,2.59,1,211,170,11.5,0,0.5,0,0.3,0,12.3,2,
2016,7,10,0.63,1,234,113,4,0,0.5,0,0.3,1,5.8,1,
2016,7,10,1.24,1,90,137,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,2,1,114,90,8,0,0.5,0,0.3,2,10.8,1,
2016,7,10,3.1,1,236,48,12,0,0.5,0,0.3,0,12.8,2,
2016,7,10,1.1,1,261,12,7,0,0.5,0,0.3,1.2,9,1,
2016,7,10,2.23,1,239,263,10.5,0,0.5,0,0.3,2.26,13.56,1,
2016,7,10,3.2,1,90,13,12,0,0.5,0,0.3,2.55,15.35,1,
2016,7,10,0.8,1,75,236,5,0,0.5,0,0.3,1,6.8,1,
2016,7,10,2.2,1,137,43,10.5,0,0.5,0,0.3,0,11.3,2,
2016,7,10,1.36,1,43,163,8,0,0.5,0,0.3,0,8.8,1,
2016,7,10,1.06,1,246,68,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,2.6,1,164,50,13.5,0,0.5,0,0.3,0,14.3,2,
2016,7,10,2.4,1,170,143,10.5,0,0.5,0,0.3,2.25,13.55,1,
2016,7,10,1.2,1,90,246,7.5,0,0.5,0,0.3,1.65,9.95,1,
2016,7,10,22.3,2,132,50,52,0,0.5,5.54,0.3,8,66.34,1,
2016,7,10,0,1,193,7,2.5,0,0.5,0,0.3,0,3.3,1,
2016,7,10,5.03,1,13,142,19,0,0.5,0,0.3,0,19.8,2,
2016,7,10,2.22,1,256,148,10,0,0.5,0,0.3,0,10.8,2,
2016,7,10,2.17,1,237,234,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,0.63,1,237,237,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,1.4,1,239,237,7,0,0.5,0,0.3,1.55,9.35,1,
2016,7,10,9.2,1,138,230,29.5,0,0.5,5.54,0.3,0,35.84,2,
2016,7,10,7,1,181,256,24,0,0.5,0,0.3,2.5,27.3,1,
2016,7,10,2.47,1,113,161,10.5,0,0.5,0,0.3,2.26,13.56,1,
2016,7,10,1.23,1,226,7,6.5,0,0.5,0,0.3,2.19,9.49,1,
2016,7,10,2.3,1,238,41,10,0,0.5,0,0.3,0,10.8,2,
2016,7,10,1.6,1,236,140,8.5,0,0.5,0,0.3,0,9.3,2,
2016,7,10,1.8,1,113,231,8.5,0,0.5,0,0.3,1.85,11.15,1,
2016,7,10,11.13,1,138,142,33,0,0.5,5.54,0.3,0,39.34,1,
2016,7,10,7.67,1,224,41,23,0,0.5,0,0.3,3,26.8,1,
2016,7,10,0.62,1,263,236,4,0,0.5,0,0.3,0.96,5.76,1,
2016,7,10,1.84,1,144,234,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,1.65,1,234,162,8,0,0.5,0,0.3,1.76,10.56,1,
2016,7,10,2.6,1,261,79,12,0,0.5,0,0.3,0,12.8,2,
2016,7,10,21.3,2,132,231,52,0,0.5,0,0.3,0,52.8,2,
2016,7,10,0.8,1,143,142,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,18.2,2,132,230,52,0,0.5,5.54,0.3,11.65,69.99,1,
2016,7,10,2.5,1,164,45,11.5,0,0.5,0,0.3,0,12.3,2,
2016,7,10,1.56,1,230,246,10.5,0,0.5,0,0.3,2.82,14.12,1,
2016,7,10,0.99,1,141,236,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,1.79,1,142,237,9,0,0.5,0,0.3,1.96,11.76,1,
2016,7,10,1.65,1,137,249,8.5,0,0.5,0,0.3,1.86,11.16,1,
2016,7,10,4.03,1,143,116,14,0,0.5,0,0.3,0,14.8,2,
2016,7,10,0.9,1,114,249,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,0.72,1,151,151,5,0,0.5,0,0.3,1.16,6.96,1,
2016,7,10,0.39,1,90,90,3.5,0,0.5,0,0.3,0,4.3,2,
2016,7,10,1.2,1,48,68,6,0,0.5,0,0.3,1.35,8.15,1,
2016,7,10,2.3,1,163,90,9,0,0.5,0,0.3,1.5,11.3,1,
2016,7,17,3.3,1,43,41,11,0.5,0.5,0,0.3,2.46,14.76,1,
2016,7,17,3.04,1,74,42,11,0.5,0.5,0,0.3,0,12.3,2,
2016,7,17,2.86,1,231,256,11,0.5,0.5,0,0.3,0,12.3,2,
2016,7,17,2.3,1,170,158,11,0.5,0.5,0,0.3,0,12.3,2,
2016,7,17,2.4,1,186,237,10,0.5,0.5,0,0.3,0,11.3,2,
2016,7,17,1,1,148,224,5,0.5,0.5,0,0.3,1.55,7.85,1,
2016,7,17,0.2,1,50,50,3,0.5,0.5,0,0.3,0.85,5.15,1,
2016,7,17,15.2,1,48,248,41.5,0.5,0.5,0,0.3,2.85,45.65,1,
2016,7,17,1.51,1,239,151,6,0.5,0.5,0,0.3,1.82,9.12,1,
2016,7,17,2.4,1,79,65,10.5,0.5,0.5,0,0.3,2.36,14.16,1,
2016,7,17,2.69,1,158,87,11.5,0.5,0.5,0,0.3,1,13.8,1,
2016,7,17,1.5,1,50,186,7.5,0.5,0.5,0,0.3,0,8.8,2,
2016,7,17,1.3,1,114,79,7,0.5,0.5,0,0.3,1.65,9.95,1,
2016,7,17,1.2,1,238,41,6.5,0.5,0.5,0,0.3,0,7.8,1,
2016,7,17,1.97,1,68,170,9,0.5,0.5,0,0.3,1.5,11.8,1,
2016,7,17,1.2,1,164,249,6,0.5,0.5,0,0.3,1.82,9.12,1,
2016,7,17,6.29,1,68,226,22,0.5,0.5,0,0.3,4.66,27.96,1,
2016,7,17,0.74,1,68,246,4.5,0.5,0.5,0,0.3,1,6.8,1,
2016,7,17,10.7,1,79,67,34,0.5,0.5,0,0.3,0,35.3,2,
2016,7,17,8.2,1,68,36,26.5,0.5,0.5,0,0.3,0,27.8,2,
2016,7,17,4.9,1,246,151,17,0.5,0.5,0,0.3,2,20.3,1,
2016,7,17,3.4,1,49,148,13,0.5,0.5,0,0.3,2,16.3,1,
2016,7,17,0.5,1,114,249,4,0.5,0.5,0,0.3,0,5.3,2,
2016,7,17,0.7,1,234,68,5,0.5,0.5,0,0.3,2,8.3,1,
2016,7,17,1.5,1,90,164,8,0.5,0.5,0,0.3,0.14,9.44,1,
2016,7,17,10,1,181,56,29.5,0.5,0.5,0,0.3,0,30.8,2,
2016,7,17,1.8,1,231,232,9.5,0.5,0.5,0,0.3,0,10.8,2,
2016,7,17,2.1,1,246,230,8.5,0.5,0.5,0,0.3,1.95,11.75,1,
2016,7,17,3.4,1,234,142,13.5,0.5,0.5,0,0.3,1.5,16.3,1,
2016,7,17,2.4,1,68,148,12,0.5,0.5,0,0.3,1,14.3,1,
2016,7,17,3.12,1,68,142,12.5,0.5,0.5,0,0.3,3.45,17.25,1,
2016,7,17,0.3,1,162,161,4,0.5,0.5,0,0.3,1.05,6.35,1,
2016,7,17,1.1,1,141,170,5,0.5,0.5,0,0.3,1.25,7.55,1,
2016,7,17,0.8,1,234,79,6,0.5,0.5,0,0.3,2,9.3,1,
2016,7,17,3.8,1,90,65,13.5,0.5,0.5,0,0.3,3.7,18.5,1,
2016,7,17,4.94,1,170,255,27.5,0.5,0.5,0,0.3,4.75,33.55,1,
2016,7,17,2.7,1,141,79,10.5,0.5,0.5,0,0.3,0,11.8,2,
2016,7,17,4.22,1,114,141,15,0.5,0.5,0,0.3,2,18.3,1,
2016,7,17,4.1,1,237,260,13.5,0.5,0.5,0,0.3,3,17.8,1,
2016,7,17,0.4,1,249,246,4,0.5,0.5,0,0.3,1.05,6.35,1,
2016,7,17,0.8,1,82,56,5,0.5,0.5,0,0.3,0,6.3,2,
2016,7,17,1.1,1,158,249,7,0.5,0.5,0,0.3,1.66,9.96,1,
2016,7,17,1.13,1,114,107,6,0.5,0.5,0,0.3,0.73,8.03,1,
2016,7,17,2.1,1,144,137,10.5,0.5,0.5,0,0.3,2.35,14.15,1,
2016,7,17,2.85,1,231,100,9.5,0.5,0.5,0,0.3,2,12.8,1,
2016,7,17,1.57,1,163,141,6.5,0.5,0.5,0,0.3,1.95,9.75,1,
2016,7,17,1.35,1,234,170,6.5,0.5,0.5,0,0.3,0,7.8,2,
2016,7,17,3.25,1,249,48,11.5,0.5,0.5,0,0.3,2.56,15.36,1,
2016,7,17,1.9,1,148,234,9,0.5,0.5,0,0.3,0,10.3,2,
2016,7,17,1.2,1,50,142,6.5,0.5,0.5,0,0.3,1.2,9,1,
2016,7,17,2.74,1,162,145,11.5,0.5,0.5,0,0.3,8.5,21.3,1,
2016,7,17,2.3,1,68,230,9.5,0.5,0.5,0,0.3,0,10.8,2,
2016,7,17,2.2,1,170,140,8.5,0.5,0.5,0,0.3,1.95,11.75,1,
2016,7,17,1.8,1,229,170,9.5,0.5,0.5,0,0.3,2.7,13.5,1,
2016,7,17,8.26,1,158,61,27.5,0.5,0.5,0,0.3,4,32.8,1,
2016,7,17,1.74,1,158,211,8,0.5,0.5,0,0.3,1.86,11.16,1,
2016,7,17,1.5,1,144,107,7.5,0.5,0.5,0,0.3,1.76,10.56,1,
2016,7,17,4.5,1,88,137,16,0.5,0.5,0,0.3,3.45,20.75,1,
2016,7,17,4.7,1,68,263,16,0.5,0.5,0,0.3,3.45,20.75,1,
2016,7,17,3,1,148,49,11,0.5,0.5,0,0.3,2.45,14.75,1,
2016,7,17,2.5,1,48,249,10.5,0.5,0.5,0,0.3,2.36,14.16,1,
2016,7,17,5.83,1,232,181,19.5,0.5,0.5,0,0.3,5.2,26,1,
2016,7,17,8.51,1,229,56,24,0.5,0.5,5.54,0.3,0,30.84,2,
2016,7,17,5.9,1,79,41,18,0.5,0.5,0,0.3,3.85,23.15,1,
2016,9,4,4.9,1,230,145,15.5,0.5,0.5,0,0.3,3.35,20.15,1,
2016,9,4,4.79,1,79,238,17,0.5,0.5,0,0.3,0,18.3,2,
2016,9,4,11.74,1,4,149,35.5,0.5,0.5,0,0.3,7.36,44.16,1,
2016,9,4,0.85,1,211,114,5,0.5,0.5,0,0.3,0,6.3,2,
2016,9,4,12,1,234,85,36,0.5,0.5,0,0.3,0,37.3,2,
2016,9,4,3.7,1,246,166,12,0.5,0.5,0,0.3,1.5,14.8,1,
2016,9,4,0.7,1,97,97,5,0.5,0.5,0,0.3,1.25,7.55,1,
2016,9,4,6.9,1,48,87,23,0.5,0.5,0,0.3,4.86,29.16,1,
2016,9,4,7.2,1,230,244,23.5,0.5,0.5,0,0.3,0,24.8,2,
2016,9,4,1.7,1,237,164,8,0.5,0.5,0,0.3,0,9.3,2,
2016,9,4,0.5,1,263,236,4,0.5,0.5,0,0.3,1.32,6.62,1,
2016,9,4,1.48,1,170,230,7,0.5,0.5,0,0.3,1.66,9.96,1,
2016,9,4,1.4,1,107,79,8,0.5,0.5,0,0.3,1.85,11.15,1,
2016,9,4,10.3,1,45,41,30,0.5,0.5,0,0.3,6.25,37.55,1,
2016,9,4,1.64,1,100,162,8.5,0.5,0.5,0,0.3,0,9.8,2,
2016,9,4,2.64,1,158,148,10,0.5,0.5,0,0.3,0,11.3,1,
2016,9,4,1.63,1,137,229,7,0.5,0.5,0,0.3,1,9.3,1,
2016,9,4,3.2,1,238,42,13,0.5,0.5,0,0.3,0,14.3,1,
2016,9,4,1.9,1,264,264,8.5,0.5,0.5,0,0.3,1.95,11.75,1,
2016,9,4,0.7,1,230,48,6,0.5,0.5,0,0.3,0,7.3,2,
2016,9,4,0.9,1,189,49,5,0.5,0.5,0,0.3,0,6.3,2,
2016,9,4,5.7,1,88,229,17,0.5,0.5,0,0.3,2.75,21.05,1,
2016,9,4,1.8,1,162,224,8,0.5,0.5,0,0.3,0,9.3,2,
2016,9,4,3.92,1,234,163,24,0.5,0.5,0,0.3,5.06,30.36,1,
2016,9,4,1.52,1,234,161,6.5,0.5,0.5,0,0.3,1.95,9.75,1,
2016,9,4,7.2,1,148,7,25,0.5,0.5,0,0.3,5.25,31.55,1,
2016,9,4,4,1,48,166,13,0.5,0.5,0,0.3,2.85,17.15,1,
2016,9,4,1.9,1,255,37,9.5,0.5,0.5,0,0.3,2.16,12.96,1,
2016,9,4,0.92,1,164,107,5.5,0.5,0.5,0,0.3,1.2,8,1,
2016,9,4,0,1,170,170,2.5,0.5,0.5,0,0.3,7,10.8,1,
2016,9,4,1.5,1,48,239,7.5,0.5,0.5,0,0.3,1.75,10.55,1,
2016,9,4,2.6,1,107,230,10,0.5,0.5,0,0.3,4,15.3,1,
2016,9,4,3.5,1,249,43,15.5,0.5,0.5,0,0.3,3.35,20.15,1,
2016,9,4,1.8,1,249,170,9.5,0.5,0.5,0,0.3,2.15,12.95,1,
2016,9,4,0.53,1,50,50,4,0.5,0.5,0,0.3,1.59,6.89,1,
2016,9,4,5,1,148,145,16,0.5,0.5,0,0.3,3.46,20.76,1,
2016,9,4,1.9,1,246,230,8.5,0.5,0.5,0,0.3,0,9.8,2,
2016,9,4,2,1,230,239,9,0.5,0.5,0,0.3,1.5,11.8,1,
2016,9,4,1.2,1,148,209,7,0.5,0.5,0,0.3,1,9.3,1,
2016,9,4,5.02,1,79,143,17,0.5,0.5,0,0.3,3.66,21.96,1,
2016,9,4,5.29,1,148,50,21,0.5,0.5,0,0.3,5.58,27.88,1,
2016,9,4,10.55,1,48,220,33,0.5,0.5,0,0.3,0,34.3,2,
2016,9,4,7,1,79,52,23,0.5,0.5,5.54,0.3,3,32.84,1,
2016,9,4,0.02,1,114,114,2.5,0.5,0.5,0,0.3,0,3.8,2,
2016,9,4,0.82,1,80,37,5,0.5,0.5,0,0.3,1.26,7.56,1,
2016,9,4,0.6,1,186,68,5,0.5,0.5,0,0.3,0,6.3,2,
2016,9,4,2.4,1,79,246,11.5,0.5,0.5,0,0.3,2.55,15.35,1,
2016,9,4,1.56,1,80,36,8,0.5,0.5,0,0.3,0,9.3,2,
2016,9,4,2.7,1,230,125,13.5,0.5,0.5,0,0.3,0,14.8,2,
2016,9,4,2.2,1,168,147,11,0.5,0.5,0,0.3,0,12.3,2,
2016,9,4,1.2,1,114,79,8,0.5,0.5,0,0.3,0,9.3,1,
2016,9,4,1.01,1,79,79,6,0.5,0.5,0,0.3,1.46,8.76,1,
2016,9,4,4.2,1,48,146,15,0.5,0.5,0,0.3,0,16.3,2,
2016,9,4,0.9,1,148,144,6.5,0.5,0.5,0,0.3,1.55,9.35,1,
2016,9,4,0.76,1,246,48,4.5,0.5,0.5,0,0.3,1,6.8,1,
2016,9,4,2.9,1,158,162,12,0.5,0.5,0,0.3,0,13.3,2,
2016,9,4,2.9,1,144,48,11.5,0.5,0.5,0,0.3,0,12.8,2,
2016,9,4,1.89,1,125,107,8.5,0.5,0.5,0,0.3,1.96,11.76,1,
2016,9,4,8.33,1,114,133,24.5,0.5,0.5,0,0.3,0,25.8,2,
2016,9,4,2.22,1,163,75,8,0.5,0.5,0,0.3,1.86,11.16,1,
2016,9,4,13.7,3,158,265,60,0.5,0,10.5,0.3,14.25,85.55,1,
2016,9,4,5.3,1,230,152,19,0.5,0.5,0,0.3,0,20.3,2,
2016,9,4,1,1,48,50,5.5,0.5,0.5,0,0.3,0,6.8,2,
2016,9,4,6.89,1,100,168,22,0.5,0.5,0,0.3,0,23.3,2,
2016,9,4,2.24,1,50,238,9.5,0.5,0.5,0,0.3,1.08,11.88,1,
2016,9,4,0.75,1,79,107,5,0.5,0.5,0,0.3,1,7.3,1,
2016,9,4,2.5,1,230,236,9,0.5,0.5,0,0.3,0,10.3,1,
